id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
2051690,f,2,2,2,1.0,1.0,1.0,6523,$50.00,30,60,24,9.716666666666667
2062638,t,3,3,10,2.0,3.0,4.0,6523,$196.00,2,1125,150,9.716666666666667
2087914,f,1,1,2,1.0,,1.0,6523,$120.00,1,1125,127,9.616666666666667
2103986,f,4,4,2,1.0,1.0,1.0,6523,$75.00,1,1125,137,9.8
2139407,f,5,5,5,1.0,1.0,3.0,6523,$55.00,1,1125,436,9.05
2163634,f,1,1,5,1.0,2.0,3.0,6523,$95.00,1,1125,173,9.816666666666666
2189522,t,3,3,1,1.5,1.0,1.0,6523,$70.00,2,180,139,9.866666666666667
2227179,f,1,1,2,1.0,1.0,1.0,6523,$100.00,5,14,46,9.85
2261568,t,1,1,4,2.5,3.0,2.0,6523,$140.00,365,400,2,8.916666666666668
2298310,f,12,12,2,1.0,1.0,1.0,6523,$42.00,2,1125,21,9.733333333333334
2305194,f,5,5,4,11.0,1.0,4.0,6523,$99.00,1,14,55,9.116666666666667
2305230,f,5,5,1,11.0,1.0,10.0,6523,$27.00,1,14,310,9.166666666666668
2320027,t,1,1,4,1.0,1.0,1.0,6523,$114.00,2,28,158,9.433333333333334
2396340,t,26,26,8,2.0,3.0,4.0,6523,$160.00,1,365,379,9.9
2429295,t,3,3,2,1.0,1.0,2.0,6523,$81.00,1,1125,51,9.416666666666668
2453598,t,80,80,2,1.0,,0.0,6523,$150.00,60,365,7,9.133333333333333
2458029,t,1,1,1,1.0,1.0,1.0,6523,$113.00,1,1125,16,9.916666666666668
2459132,f,0,0,8,1.0,1.0,1.0,6523,$175.00,2,1125,67,10.0
2471876,f,1,1,4,1.5,2.0,2.0,6523,$121.00,5,1125,37,9.866666666666667
2473938,f,2,2,2,1.0,1.0,1.0,6523,$60.00,30,90,128,9.666666666666668
2479175,f,1,1,2,1.0,1.0,1.0,6523,$76.00,2,30,180,9.616666666666667
2487272,f,2,2,2,1.0,1.0,1.0,6523,$65.00,10,90,3,7.5166666666666675
2496594,t,80,80,2,1.0,1.0,1.0,6523,$140.00,31,1124,4,9.916666666666668
2499596,t,2,2,5,1.5,1.0,1.0,6523,$109.00,7,90,154,9.85
2509508,f,2,2,4,1.0,1.0,2.0,6523,$60.00,3,1125,18,9.133333333333333
2510602,t,80,80,4,2.0,2.0,2.0,6523,$225.00,31,1125,4,9.916666666666668
2512247,t,4,4,2,1.0,,1.0,6523,$45.00,30,60,6,8.766666666666666
2512850,t,1,1,2,1.5,1.0,1.0,6523,$50.00,2,1125,291,9.85
2515629,t,3,3,2,1.0,1.0,1.0,6523,$28.00,3,500,128,9.5
2519442,f,1,1,2,1.5,1.0,1.0,6523,$80.00,2,30,82,9.5
2543231,f,2,2,2,1.0,1.0,1.0,6523,$65.00,2,1125,220,9.9
2552219,f,1,1,9,3.0,5.0,6.0,6523,$160.00,2,1125,3,10.0
2564678,f,4,4,1,1.5,1.0,1.0,6523,$45.00,2,1125,6,8.166666666666668
2570620,t,7,7,2,1.0,,2.0,6523,$45.00,1,1125,570,9.9
2583929,t,80,80,3,1.0,1.0,2.0,6523,$120.00,60,1122,16,9.816666666666666
2585378,f,1,1,2,1.0,1.0,1.0,6523,$93.00,40,120,20,10.0
2604345,f,12,12,2,1.0,1.0,1.0,6523,$28.00,15,1125,25,9.116666666666667
2604454,t,3,3,6,1.5,3.0,3.0,6523,$125.00,1,14,104,9.95
2659670,f,5,5,16,2.5,5.0,11.0,6523,$875.00,2,1125,124,9.85
2661465,t,80,80,2,1.0,1.0,1.0,6523,$120.00,31,365,25,9.283333333333333
